client_id,visitor_id,visit_id,start_time,confirm_time,total_time_spent,Variation_x,clnt_tenure_yr,clnt_age,num_accts,bal,calls_6_mnth,logons_6_mnth,Variation_y,gender_dichotomic
1936,883992205_24100452548,943469853_76229226125_839996,2017-03-29 12:52:48,2017-03-29 12:55:56,188.0,Test,5.0,26.5,2.0,52447.899999999994,6.0,9.0,Test,0
4484,929634148_40943099576,66056328_29973355596_981576,2017-04-05 20:40:10,2017-04-05 20:52:35,745.0,Test,16.0,48.5,2.0,51499.77,2.0,5.0,Test,0
6985,157368510_91928042506,702486929_79839403728_901057,2017-04-16 14:19:15,2017-04-16 14:24:46,331.0,Control,7.0,61.5,3.0,84975.6,6.0,9.0,Control,0
7020,131463516_45910398094,61344667_49617029714_100250,2017-04-08 10:23:38,2017-04-08 10:21:43,-115.0,Control,16.0,41.5,2.0,63648.09,2.0,5.0,Control,1
7657,591719386_90464616750,155200945_99956206989_392959,2017-04-05 12:43:34,2017-04-05 12:45:11,97.0,Test,18.0,41.5,2.0,55643.369999999995,2.0,5.0,Test,0
11054,952592414_63731951988,175972021_93800420846_435503,2017-05-16 11:30:16,2017-05-16 11:38:45,509.0,Control,4.0,60.0,2.0,208185.54,2.0,5.0,Control,0
11070,615941288_43248755936,681895519_7554253726_390001,2017-04-06 15:14:05,2017-04-06 15:23:25,560.0,Control,14.0,53.5,3.0,255988.05,6.0,9.0,Control,0
11880,981741619_79128678482,131524079_26572064021_279117,2017-05-19 09:33:29,2017-05-19 09:38:40,311.0,Test,5.0,27.0,2.0,61355.21,6.0,9.0,Test,0
15050,143172828_43549799833,111810502_99789384545_571230,2017-04-25 09:10:00,2017-04-25 09:15:13,313.0,Test,26.0,52.5,3.0,65688.56,6.0,9.0,Test,1
16135,375602926_50119717068,134174297_19985183355_947935,2017-04-11 13:40:08,2017-04-11 13:43:18,190.0,Control,14.0,63.5,2.0,173616.2,3.0,6.0,Control,1
16295,683840870_77493421156,558426632_81642086968_118345,2017-05-23 21:21:09,2017-05-23 21:29:06,477.0,Test,23.0,55.0,2.0,77984.93,2.0,5.0,Test,1
18973,934481653_7373414750,877001573_38639169699_94006,2017-06-16 08:30:48,2017-06-16 08:37:04,376.0,Control,13.0,54.0,4.0,353529.66,1.0,4.0,Control,0
19813,670697421_80054613810,143231681_56019816087_517213,2017-05-03 12:52:47,2017-05-03 13:03:58,671.0,Control,14.0,65.0,2.0,31462.06,0.0,3.0,Control,1
20091,837374771_48545978049,521894990_91669109448_321090,2017-05-09 12:45:14,2017-05-09 12:49:51,277.0,Control,5.0,21.0,3.0,69958.08,5.0,8.0,Control,0
20185,605452303_14846862358,10208508_48498393982_276767,2017-04-24 15:59:43,2017-04-24 16:34:48,2105.0,Test,15.0,60.5,2.0,69992.51999999999,2.0,5.0,Test,1
21498,112796748_95489419773,514004431_53392778526_830876,2017-04-06 15:31:42,2017-04-06 15:43:45,723.0,Control,16.0,70.5,2.0,50672.1,5.0,8.0,Control,1
21596,546824865_38801132695,827079958_39299586194_303382,2017-05-02 17:46:22,2017-05-02 17:49:46,204.0,Test,11.0,43.0,2.0,56511.63,0.0,3.0,Test,0
21940,290323712_179611209,794772723_91591789623_49001,2017-04-19 16:05:36,2017-04-19 16:08:10,154.0,Control,12.0,43.5,2.0,33031.88,6.0,9.0,Control,0
21970,884689567_69949404962,579369959_76319820707_173529,2017-04-09 19:37:17,2017-04-09 19:35:59,-78.0,Control,5.0,22.5,4.0,170906.62,4.0,7.0,Control,0
24443,239924652_19132521727,937835222_16528776411_284171,2017-05-03 21:04:00,2017-05-03 21:30:59,1619.0,Test,10.0,49.0,2.0,331869.27999999997,6.0,9.0,Test,0
24572,630052492_58601863492,101834489_14041973684_933577,2017-04-05 11:07:39,2017-04-05 11:11:49,250.0,Test,6.0,23.5,2.0,52351.16,3.0,6.0,Test,1
26105,550883110_33220778838,340616021_70560151001_375599,2017-06-02 16:48:59,2017-06-02 16:50:52,113.0,Test,5.0,33.0,2.0,80349.53,0.0,3.0,Test,0
27021,533602374_23301907469,525905933_92057215335_225403,2017-03-22 11:32:31,2017-03-22 11:34:51,140.0,Control,9.0,34.5,3.0,94571.25,6.0,9.0,Control,0
27241,111165291_70855004699,122379901_73882407138_824316,2017-03-29 22:29:36,2017-03-29 22:28:39,-57.0,Control,8.0,34.5,5.0,645122.5,6.0,9.0,Control,0
27764,769510355_13412064058,909501959_18598284968_649950,2017-05-01 16:17:16,2017-05-01 16:23:42,386.0,Test,4.0,23.0,2.0,30495.82,1.0,4.0,Test,0
29227,813020763_73183145801,32232938_22171776931_394594,2017-04-05 19:12:08,2017-04-05 19:18:51,403.0,Test,15.0,69.5,3.0,73112.36,1.0,4.0,Test,1
30493,493753122_31736508429,10881982_2291331778_727577,2017-04-02 20:35:06,2017-04-02 20:41:22,376.0,Test,15.0,49.5,2.0,169561.27000000002,0.0,3.0,Test,1
31499,927201320_93386695394,898505863_76929932924_170177,2017-05-27 11:43:54,2017-05-27 11:54:48,654.0,Test,20.0,66.0,3.0,211432.85,3.0,6.0,Test,0
31502,997960069_79388660924,707649935_38522318149_168113,2017-03-30 21:03:05,2017-03-30 21:05:02,117.0,Control,7.0,47.5,2.0,57208.46,1.0,4.0,Control,0
32746,65336966_69053834536,228284822_40598171939_119839,2017-03-29 12:02:14,2017-03-29 12:06:30,256.0,Test,14.0,40.5,2.0,63460.18,3.0,6.0,Test,1
33463,952539351_71791673316,753474534_6597398149_171746,2017-04-20 19:16:35,2017-04-20 19:19:38,183.0,Control,4.0,33.5,2.0,41910.53999999999,2.0,5.0,Control,0
34067,903578810_54395828122,105458872_73633905256_530797,2017-03-29 12:02:07,2017-03-29 12:11:46,579.0,Control,21.0,65.5,3.0,66801.59,4.0,7.0,Control,0
35476,949184072_89302440478,379785835_9853345500_781684,2017-05-12 10:46:53,2017-05-12 10:51:54,301.0,Test,20.0,31.0,2.0,86568.15,6.0,9.0,Test,0
35922,492308256_27801351851,454873758_44961103960_436775,2017-03-15 12:18:57,2017-03-15 12:41:55,1378.0,Test,4.0,44.5,2.0,65375.71,4.0,7.0,Test,0
36986,128462938_15148991657,610763272_78958974287_186487,2017-04-12 14:45:05,2017-04-12 14:43:01,-124.0,Test,26.0,77.5,2.0,234612.34000000003,5.0,8.0,Test,0
