visit_id,start_time,confirm_time,process_duration
931092058_62505506569_923033,2017-03-28 18:09:14,2017-03-28 18:14:25,5.183333333333334
467595308_99224825337_285972,2017-03-29 12:45:58,2017-03-29 12:51:09,5.183333333333334
466870452_22467449752_31962,2017-04-05 17:30:43,2017-04-05 17:35:54,5.183333333333334
89131543_28542450662_632270,2017-04-18 14:00:07,2017-04-18 14:05:18,5.183333333333334
183102404_88319430282_382981,2017-04-12 18:27:42,2017-04-12 18:32:53,5.183333333333334
654700708_51014988677_633115,2017-03-30 13:05:02,2017-03-30 13:10:13,5.183333333333334
665213803_66655523684_238213,2017-03-31 17:58:47,2017-03-31 18:03:58,5.183333333333334
626140106_55660748234_763451,2017-05-14 13:45:49,2017-05-14 13:51:00,5.183333333333334
946265061_31258158249_512684,2017-03-29 13:37:44,2017-03-29 13:42:55,5.183333333333334
235601086_14114082920_867044,2017-04-24 10:38:06,2017-04-24 10:43:17,5.183333333333334
764755636_95585768922_283458,2017-06-06 14:26:28,2017-06-06 14:31:39,5.183333333333334
660589088_32410859938_812799,2017-04-10 19:56:20,2017-04-10 20:01:31,5.183333333333334
418662734_95787168961_807483,2017-04-06 11:24:11,2017-04-06 11:29:22,5.183333333333334
791730122_19381990195_215975,2017-04-19 16:46:15,2017-04-19 16:51:26,5.183333333333334
909819300_16166315887_693875,2017-04-05 17:23:37,2017-04-05 17:28:48,5.183333333333334
794026156_84103957404_39042,2017-05-14 19:38:27,2017-05-14 19:43:38,5.183333333333334
916819112_21164168502_419873,2017-04-25 09:53:04,2017-04-25 09:58:15,5.183333333333334
597888642_39713265892_333851,2017-04-12 14:00:44,2017-04-12 14:05:55,5.183333333333334
730223140_30204336639_520626,2017-04-19 15:32:34,2017-04-19 15:37:45,5.183333333333334
218979770_56709644111_553967,2017-04-17 15:39:52,2017-04-17 15:45:03,5.183333333333334
540597447_78145262571_544524,2017-04-14 10:33:06,2017-04-14 10:38:17,5.183333333333334
13809244_71344182710_663243,2017-03-28 17:01:31,2017-03-28 17:06:42,5.183333333333334
711583831_69136941606_716000,2017-04-05 11:39:25,2017-04-05 11:44:36,5.183333333333334
293298970_30785961974_279833,2017-04-19 15:45:30,2017-04-19 15:50:41,5.183333333333334
715351575_36442503543_545429,2017-04-19 12:30:34,2017-04-19 12:35:45,5.183333333333334
568439216_32011240530_260452,2017-03-29 11:22:20,2017-03-29 11:27:31,5.183333333333334
129329302_98623136213_399677,2017-04-21 10:58:21,2017-04-21 11:03:32,5.183333333333334
724058418_34775663112_792332,2017-04-12 13:23:41,2017-04-12 13:28:52,5.183333333333334
715948871_82292656728_764057,2017-05-06 11:28:04,2017-05-06 11:33:15,5.183333333333334
359746456_89609879012_486826,2017-04-09 14:17:37,2017-04-09 14:22:49,5.2
868535324_36650975723_835437,2017-03-29 19:50:36,2017-03-29 19:55:48,5.2
601003325_7773491605_926569,2017-04-19 07:37:18,2017-04-19 07:42:30,5.2
764628244_96763384683_37935,2017-04-12 12:12:59,2017-04-12 12:18:11,5.2
119208864_65436276433_385022,2017-03-29 14:34:51,2017-03-29 14:40:03,5.2
702092217_58418198192_422017,2017-04-19 12:17:21,2017-04-19 12:22:33,5.2
147626320_86707514150_733203,2017-03-28 21:02:31,2017-03-28 21:07:43,5.2
266498923_48040070239_181605,2017-04-02 12:56:46,2017-04-02 13:01:58,5.2
784434931_64036050890_132317,2017-04-16 15:01:43,2017-04-16 15:06:55,5.2
869263461_78468132066_249887,2017-04-05 08:06:34,2017-04-05 08:11:46,5.2
763134970_92284392919_726483,2017-04-05 15:25:11,2017-04-05 15:30:23,5.2
528989742_52982229698_45782,2017-04-19 13:58:46,2017-04-19 14:03:58,5.2
201372527_84200033686_663496,2017-04-12 11:41:26,2017-04-12 11:46:38,5.2
191187753_98580716574_527044,2017-04-21 13:49:17,2017-04-21 13:54:29,5.2
327697914_94547509351_426784,2017-03-29 11:11:53,2017-03-29 11:17:05,5.2
845903515_46021098667_237263,2017-04-05 11:41:53,2017-04-05 11:47:05,5.2
319465185_411078563_567468,2017-04-05 15:12:08,2017-04-05 15:17:20,5.2
